TICKER,DATE,Price_Open,Price_Close,Price_High,Price_Low,Volume
AAPL,2022-11-16 05:00:00+00:00,149.13,148.79,149.87,147.29,71463063.0
AAPL,2022-11-17 05:00:00+00:00,146.43,150.72,151.48,146.15,86649104.0
AAPL,2022-11-18 05:00:00+00:00,152.305,151.29,152.7,149.97,84106843.0
AAPL,2022-11-21 05:00:00+00:00,150.16,148.01,150.37,147.715,64466896.0
AAPL,2022-11-22 05:00:00+00:00,148.13,150.18,150.42,146.925,58685320.0
AAPL,2022-11-23 05:00:00+00:00,149.45,151.07,151.83,149.34,62774756.0
AAPL,2022-11-25 05:00:00+00:00,148.305,148.11,148.88,147.12,38776713.0
AAPL,2022-11-28 05:00:00+00:00,145.14,144.22,146.64,143.38,78281391.0
AAPL,2022-11-29 05:00:00+00:00,144.29,141.17,144.81,140.355,89801206.0
AAPL,2022-11-30 05:00:00+00:00,141.395,148.03,148.72,140.55,131183862.0
AAPL,2022-12-01 05:00:00+00:00,148.21,148.31,149.13,146.61,78588359.0
AAPL,2022-12-02 05:00:00+00:00,145.96,147.81,148.0,145.65,75015411.0
AAPL,2022-12-05 05:00:00+00:00,147.77,146.63,150.9199,145.77,74981324.0
AAPL,2022-12-06 05:00:00+00:00,147.075,142.91,147.3,141.92,72151911.0
AAPL,2022-12-07 05:00:00+00:00,142.19,140.94,143.37,140.0,77308359.0
AAPL,2022-12-08 05:00:00+00:00,142.36,142.65,143.52,141.1,68832111.0
AAPL,2022-12-09 05:00:00+00:00,142.34,142.16,145.57,140.9,84840144.0
AAPL,2022-12-12 05:00:00+00:00,142.7,144.49,144.5,141.06,78289096.0
AAPL,2022-12-13 05:00:00+00:00,149.5,145.47,149.9692,144.24,102204603.0
AAPL,2022-12-14 05:00:00+00:00,145.35,143.21,146.655,141.16,89974435.0
AAPL,2022-12-15 05:00:00+00:00,141.11,136.5,141.8,136.025,110421981.0
AAPL,2022-12-16 05:00:00+00:00,136.685,134.51,137.65,133.73,220048084.0
AAPL,2022-12-19 05:00:00+00:00,135.11,132.37,135.2,131.32,87427188.0
AAPL,2022-12-20 05:00:00+00:00,131.39,132.3,133.25,129.89,83636668.0
AAPL,2022-12-21 05:00:00+00:00,132.98,135.45,136.81,132.75,95563192.0
AAPL,2022-12-22 05:00:00+00:00,134.352,132.23,134.56,130.3,86659361.0
AAPL,2022-12-23 05:00:00+00:00,130.92,131.86,132.415,129.64,67631560.0
AAPL,2022-12-27 05:00:00+00:00,131.38,130.03,131.41,128.72,74304546.0
AAPL,2022-12-28 05:00:00+00:00,129.67,126.04,131.0275,125.87,90551969.0
AAPL,2022-12-29 05:00:00+00:00,127.99,129.61,130.4814,127.73,81821550.0
AAPL,2022-12-30 05:00:00+00:00,128.41,129.93,129.95,127.43,85865255.0
AAPL,2023-01-03 05:00:00+00:00,130.28,125.07,130.9,124.17,124289279.0
AAPL,2023-01-04 05:00:00+00:00,126.89,126.36,128.6557,125.08,95426133.0
AAPL,2023-01-05 05:00:00+00:00,127.13,125.02,127.77,124.76,88344592.0
AAPL,2023-01-06 05:00:00+00:00,126.01,129.62,130.29,124.89,96468673.0
AAPL,2023-01-09 05:00:00+00:00,130.465,130.15,133.41,129.89,76653608.0
AAPL,2023-01-10 05:00:00+00:00,130.26,130.73,131.2636,128.12,68415086.0
AAPL,2023-01-11 05:00:00+00:00,131.25,133.49,133.51,130.46,77043246.0
AAPL,2023-01-12 05:00:00+00:00,133.88,133.41,134.26,131.44,77698366.0
AAPL,2023-01-13 05:00:00+00:00,132.03,134.76,134.92,131.66,63045132.0
AAPL,2023-01-17 05:00:00+00:00,134.83,135.94,137.29,134.13,69852271.0
AAPL,2023-01-18 05:00:00+00:00,136.815,135.21,138.61,135.03,76916867.0
AAPL,2023-01-19 05:00:00+00:00,134.08,135.27,136.25,133.77,64511998.0
AAPL,2023-01-20 05:00:00+00:00,135.28,137.87,138.02,134.22,95933363.0
AAPL,2023-01-23 05:00:00+00:00,138.12,141.11,143.315,137.9,87527661.0
AAPL,2023-01-24 05:00:00+00:00,140.305,142.53,143.16,140.3,70642466.0
AAPL,2023-01-25 05:00:00+00:00,140.89,141.86,142.43,138.81,70336488.0
AAPL,2023-01-26 05:00:00+00:00,143.17,143.96,144.25,141.9,59721341.0
AAPL,2023-01-27 05:00:00+00:00,143.155,145.93,147.23,143.08,77521002.0
AAPL,2023-01-30 05:00:00+00:00,144.955,143.0,145.55,142.85,69935435.0
AAPL,2023-01-31 05:00:00+00:00,142.7,144.29,144.34,142.28,81087730.0
AAPL,2023-02-01 05:00:00+00:00,143.97,145.43,146.61,141.32,84602426.0
AAPL,2023-02-02 05:00:00+00:00,148.9,150.82,151.18,148.17,119288199.0
AAPL,2023-02-03 05:00:00+00:00,148.03,154.5,157.38,147.83,166049247.0
AAPL,2023-02-06 05:00:00+00:00,152.575,151.73,153.1,150.78,75590203.0
AAPL,2023-02-07 05:00:00+00:00,150.64,154.65,155.23,150.64,94067819.0
AAPL,2023-02-08 05:00:00+00:00,153.88,151.92,154.58,151.168,72643990.0
AAPL,2023-02-09 05:00:00+00:00,153.775,150.87,154.33,150.42,61868739.0
AAPL,2023-02-10 05:00:00+00:00,149.46,151.01,151.3401,149.22,62500180.0
AAPL,2023-02-13 05:00:00+00:00,150.952,153.85,154.26,150.92,70149328.0
AAPL,2023-02-14 05:00:00+00:00,152.12,153.2,153.77,150.86,68556962.0
AAPL,2023-02-15 05:00:00+00:00,153.11,155.33,155.5,152.88,70612239.0
AAPL,2023-02-16 05:00:00+00:00,153.51,153.71,156.33,153.3475,74955617.0
AAPL,2023-02-17 05:00:00+00:00,152.35,152.55,153.0,150.85,66293371.0
AAPL,2023-02-21 05:00:00+00:00,150.2,148.48,151.3,148.405,68102432.0
AAPL,2023-02-22 05:00:00+00:00,148.87,148.91,149.95,147.16,57571342.0
AAPL,2023-02-23 05:00:00+00:00,150.09,149.4,150.34,147.24,53439807.0
AAPL,2023-02-24 05:00:00+00:00,147.11,146.71,147.19,145.7202,62617932.0
AAPL,2023-02-27 05:00:00+00:00,147.71,147.92,149.17,147.45,50247854.0
AAPL,2023-02-28 05:00:00+00:00,147.05,147.41,149.08,146.83,61519861.0
AAPL,2023-03-01 05:00:00+00:00,146.83,145.31,147.2285,145.01,62350999.0
